Machine Name,Policy Target,Subcategory,Subcategory GUID,Inclusion Setting,Exclusion Setting,Setting Value
WIN-0BO85IRH26H,System,IPsec Driver,{0CCE9213-69AE-11D9-BED3-505054503030},Success and Failure,,3
WIN-0BO85IRH26H,System,System Integrity,{0CCE9212-69AE-11D9-BED3-505054503030},Success and Failure,,3
WIN-0BO85IRH26H,System,Security System Extension,{0CCE9211-69AE-11D9-BED3-505054503030},Success,,1
WIN-0BO85IRH26H,System,Security State Change,{0CCE9210-69AE-11D9-BED3-505054503030},Success,,1
WIN-0BO85IRH26H,System,Other System Events,{0CCE9214-69AE-11D9-BED3-505054503030},Success and Failure,,3
WIN-0BO85IRH26H,System,Group Membership,{0CCE9249-69AE-11D9-BED3-505054503030},Success,,1
WIN-0BO85IRH26H,System,User / Device Claims,{0CCE9247-69AE-11D9-BED3-505054503030},No Auditing,,0
WIN-0BO85IRH26H,System,Network Policy Server,{0CCE9243-69AE-11D9-BED3-505054503030},No Auditing,,0
WIN-0BO85IRH26H,System,Other Logon/Logoff Events,{0CCE921C-69AE-11D9-BED3-505054503030},No Auditing,,0
WIN-0BO85IRH26H,System,Special Logon,{0CCE921B-69AE-11D9-BED3-505054503030},Success,,1
WIN-0BO85IRH26H,System,IPsec Extended Mode,{0CCE921A-69AE-11D9-BED3-505054503030},No Auditing,,0
WIN-0BO85IRH26H,System,IPsec Quick Mode,{0CCE9219-69AE-11D9-BED3-505054503030},No Auditing,,0
WIN-0BO85IRH26H,System,IPsec Main Mode,{0CCE9218-69AE-11D9-BED3-505054503030},No Auditing,,0
WIN-0BO85IRH26H,System,Account Lockout,{0CCE9217-69AE-11D9-BED3-505054503030},Failure,,2
WIN-0BO85IRH26H,System,Logoff,{0CCE9216-69AE-11D9-BED3-505054503030},Success,,1
WIN-0BO85IRH26H,System,Logon,{0CCE9215-69AE-11D9-BED3-505054503030},Success and Failure,,3
WIN-0BO85IRH26H,System,Handle Manipulation,{0CCE9223-69AE-11D9-BED3-505054503030},No Auditing,,0
WIN-0BO85IRH26H,System,Central Policy Staging,{0CCE9246-69AE-11D9-BED3-505054503030},No Auditing,,0
WIN-0BO85IRH26H,System,Removable Storage,{0CCE9245-69AE-11D9-BED3-505054503030},Success and Failure,,3
WIN-0BO85IRH26H,System,Detailed File Share,{0CCE9244-69AE-11D9-BED3-505054503030},Failure,,2
WIN-0BO85IRH26H,System,Other Object Access Events,{0CCE9227-69AE-11D9-BED3-505054503030},Success and Failure,,3
WIN-0BO85IRH26H,System,Filtering Platform Connection,{0CCE9226-69AE-11D9-BED3-505054503030},No Auditing,,0
WIN-0BO85IRH26H,System,Filtering Platform Packet Drop,{0CCE9225-69AE-11D9-BED3-505054503030},No Auditing,,0
WIN-0BO85IRH26H,System,File Share,{0CCE9224-69AE-11D9-BED3-505054503030},Success and Failure,,3
WIN-0BO85IRH26H,System,Application Generated,{0CCE9222-69AE-11D9-BED3-505054503030},No Auditing,,0
WIN-0BO85IRH26H,System,Certification Services,{0CCE9221-69AE-11D9-BED3-505054503030},No Auditing,,0
WIN-0BO85IRH26H,System,SAM,{0CCE9220-69AE-11D9-BED3-505054503030},No Auditing,,0
WIN-0BO85IRH26H,System,Kernel Object,{0CCE921F-69AE-11D9-BED3-505054503030},No Auditing,,0
WIN-0BO85IRH26H,System,Registry,{0CCE921E-69AE-11D9-BED3-505054503030},No Auditing,,0
WIN-0BO85IRH26H,System,File System,{0CCE921D-69AE-11D9-BED3-505054503030},No Auditing,,0
WIN-0BO85IRH26H,System,Other Privilege Use Events,{0CCE922A-69AE-11D9-BED3-505054503030},No Auditing,,0
WIN-0BO85IRH26H,System,Non Sensitive Privilege Use,{0CCE9229-69AE-11D9-BED3-505054503030},Success and Failure,,3
WIN-0BO85IRH26H,System,Sensitive Privilege Use,{0CCE9228-69AE-11D9-BED3-505054503030},No Auditing,,0
WIN-0BO85IRH26H,System,RPC Events,{0CCE922E-69AE-11D9-BED3-505054503030},No Auditing,,0
WIN-0BO85IRH26H,System,Token Right Adjusted Events,{0CCE924A-69AE-11D9-BED3-505054503030},No Auditing,,0
WIN-0BO85IRH26H,System,Process Creation,{0CCE922B-69AE-11D9-BED3-505054503030},Success,,1
WIN-0BO85IRH26H,System,Process Termination,{0CCE922C-69AE-11D9-BED3-505054503030},Success,,1
WIN-0BO85IRH26H,System,Plug and Play Events,{0CCE9248-69AE-11D9-BED3-505054503030},Success,,1
